Index,Product_Registration,File_Path,File_Name,DLP_File_Date_UTC,Time_Zone_Offset,Number_Recordings,File_Hours,ClientGroup_Name,ClientGroup_ID,Child_ChildKey,Child_ChildID,Child_DOB,Child_Age,Child_Gender,Child_EnrollDate,DLP,ITS_Version,AWC,Turn_Count,Child_Voc_Count,FAN_Word_Count,MAN_Word_Count,SIL,Recording_Index,Elapsed_Time,Clock_Time_UTC,Audio_Duration
1,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,159.00,16.00,26.00,146.24,12.44,39.24,1.00,0.00,06/07/2020 12:41:34,206.00
2,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,119.00,9.00,33.00,30.62,88.55,15.10,1.00,206.00,06/07/2020 12:45:00,300.00
3,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,85.00,4.00,25.00,62.95,22.29,44.95,1.00,506.00,06/07/2020 12:50:00,300.00
4,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,284.00,13.00,33.00,223.57,60.83,32.46,1.00,806.00,06/07/2020 12:55:00,300.00
5,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,173.00,10.00,32.00,76.09,96.69,70.29,1.00,1106.00,06/07/2020 13:00:00,300.00
6,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,69.00,5.00,24.00,23.10,45.79,5.72,1.00,1406.00,06/07/2020 13:05:00,300.00
7,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,154.00,1.00,10.00,26.45,127.80,15.94,1.00,1706.00,06/07/2020 13:10:00,300.00
8,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,221.00,9.00,14.00,25.35,195.73,61.87,1.00,2006.00,06/07/2020 13:15:00,300.00
9,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,208.00,6.00,14.00,87.47,119.77,24.88,1.00,2306.00,06/07/2020 13:20:00,300.00
10,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,175.00,15.00,43.00,137.81,37.66,33.87,1.00,2606.00,06/07/2020 13:25:00,300.00
11,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,212.00,12.00,41.00,49.60,162.19,13.24,1.00,2906.00,06/07/2020 13:30:00,300.00
12,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,55.00,6.00,19.00,43.55,11.89,113.17,1.00,3206.00,06/07/2020 13:35:00,300.00
13,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,76.00,2.00,8.00,71.56,4.02,47.32,1.00,3506.00,06/07/2020 13:40:00,300.00
14,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,100.00,4.00,23.00,89.35,11.02,14.05,1.00,3806.00,06/07/2020 13:45:00,300.00
15,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,198.00,4.00,10.00,197.96,0.00,6.36,1.00,4106.00,06/07/2020 13:50:00,300.00
16,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,18.00,0.00,13.00,17.98,0.00,0.00,1.00,4406.00,06/07/2020 13:55:00,300.00
17,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,15.00,0.00,10.00,14.99,0.00,3.46,1.00,4706.00,06/07/2020 14:00:00,300.00
18,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,156.00,9.00,25.00,97.03,58.38,30.78,1.00,5006.00,06/07/2020 14:05:00,300.00
19,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,177.00,11.00,16.00,72.06,105.14,43.50,1.00,5306.00,06/07/2020 14:10:00,300.00
20,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,23.00,1.00,5.00,14.12,8.78,10.70,1.00,5606.00,06/07/2020 14:15:00,300.00
21,N/A,Z:\Users\vcsalo\Dropbox\Research\Vanderbilt\Ecology of Early Life\Methods Manuscript\Data\lena,20200608_100106_029788.its,2020-06-07 12:41:34,-1,1,12.26,N/A,N/A,LMV2.6.14.20200415142755.48843,N/A,2017-12-02,30,M,N/A,29788,5.0.0,9.00,1.00,6.00,0.11,8.87,7.23,1.00,5906.00,06/07/2020 14:20:00,300.00
